Country,Year,Rank,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,Prison Population,Homeless People due to Natural Disaster,Life expectancy at birth (years),Total unemployment rate (% of labour force),EPI,Infant mortality rates,Education Index,Domestic credit provided by financial sector (% of GDP),GTI,Total
Sudan,2013,3rd,9.8,10.0,10.0,7.8,8.5,8.4,9.6,8.8,9.3,8.8,10.0,10.0,0.838,0.838,8.25,5.48,6.461212421,1.22,0.821,12.24,2.636,Alert
Somalia,2013,1st,9.7,10.0,9.3,9.4,8.4,8.9,9.5,9.8,10.0,9.5,10.0,9.4,0.83,0.83,6.62,1.5,6.71150926,1.58,0.734,4.755,0,Alert
South Sudan,2013,4th,9.6,9.8,10.0,8.6,8.9,6.5,9.1,9.8,9.3,8.9,10.0,10.0,0.762,0.762,7.45,0.8,7.354100276,1.38,0.666,0.59,3.086,Alert
Yemen,2013,6th,9.8,9.5,9.0,9.2,8.1,7.4,9.3,8.7,8.7,9.3,9.2,8.7,0.478,0.478,7.47,0.36,8.822893374,1.97,0.454,3.5,1.173,Warning
Afghanistan,2013,7th,9.9,9.4,9.2,8.2,7.8,7.2,9.4,8.8,8.4,9.3,9.2,10.0,0.47,0.47,5.97,1.66,0.987494575,7.17,0.387,-0.2,7.244,Warning
Congo Democratic Republic,2013,2nd,10.0,9.5,9.4,8.5,8.8,7.1,9.6,9.5,9.8,10.0,10.0,9.7,0.49,0.49,6.26,0.74,0.976390741,5.98,0.457,-0.445,3.389,Warning
Liberia,2013,23rd,7.1,8.3,6.5,8.3,8.0,7.0,6.6,9.1,6.4,8.8,9.2,9.8,0.647,0.647,7.42,5.04,6.270738289,2.29,0.704,8.765,1.168,Warning
Chad,2013,5th,9.4,9.5,8.8,8.0,8.9,8.0,9.7,9.9,9.8,9.5,9.7,7.9,0.37,0.37,4.91,1.28,1.211863462,9.77,0.338,0.275,0,Warning
Zimbabwe,2013,10th,8.4,9.7,8.4,8.6,8.6,8.6,9.2,9.1,8.9,9.2,8.7,7.8,0.488,0.488,5.71,1.56,6.607025891,1.42,0.677,5.245,0.069,Warning
Iraq,2013,11th,10.0,9.6,10.0,7.3,8.4,8.3,8.6,7.6,8.6,8.3,8.8,8.5,0.599,0.599,6.73,2.94,3.279669787,2.53,0.506,0,4.505,Warning
Haiti,2013,8th,7.9,9.0,7.0,9.7,9.1,9.1,8.8,9.6,7.6,9.6,8.6,9.9,0.415,0.415,5.45,0.66,3.620775823,6.74,0.346,1.05,0,Warning
Kenya,2013,17th,8.1,9.0,9.0,7.6,8.3,7.8,8.3,8.1,7.1,9.1,8.7,8.5,0.894,0.894,8.32,1.36,4.80505796,1.68,0.825,1.94,2.358,Warning
Syria,2013,21st,9.8,9.2,9.3,6.4,7.2,6.2,9.6,7.0,9.5,5.6,9.5,8.1,0.874,0.874,5.63,0.64,5.909087988,2.55,0.804,7.83,0,Warning
Cote dIvoire,2013,12th,9.1,9.4,9.0,7.7,7.8,7.3,9.3,8.5,8.6,7.8,9.3,9.7,0.762,0.762,7.91,0.7,2.674599212,0.88,0.659,4.43,0.119,Warning
Central African Republic,2013,9th,9.7,9.1,8.5,7.7,9.2,6.1,9.0,9.5,8.6,8.6,9.8,9.4,0.909,0.909,8.17,1.12,3.02341731,0.47,0.871,1.315,0,Warning
Pakistan,2013,13th,9.8,9.2,9.7,7.5,7.9,6.9,8.4,7.3,8.7,8.9,9.1,9.6,0.341,0.341,7.43,0.8,6.547982176,0.49,0.199,2.295,0,Warning
Niger,2013,18th,8.3,8.9,7.8,8.4,7.9,6.3,8.1,9.5,7.6,9.8,7.9,8.5,0.625,0.625,6.55,1.52,4.7125103,4.32,0.537,2.32,0,Warning
Bangladesh,2013,29th,7.7,8.9,8.6,7.3,7.8,7.5,8.3,8.0,7.3,8.1,7.3,5.8,0.815,0.815,7.63,2.32,2.553191856,0.63,0.706,3,9.049,Warning
Uzbekistan,2013,44th,7.9,8.7,7.5,7.2,7.6,6.3,9.0,5.4,9.2,6.7,6.0,5.4,0.72,0.72,7.25,2.06,6.868498564,4.93,0.638,9.725,0.079,Warning
Guinea,2013,14th,9.1,8.9,7.6,9.2,8.2,7.7,9.8,8.9,8.4,8.4,8.2,7.0,0.746,0.746,7.3,2.24,3.888357917,1.15,0.721,1.08,0.415,Warning
Mauritania,2013,31st,7.8,8.2,7.2,8.0,6.5,5.7,7.7,8.4,7.4,8.5,8.3,7.9,0.459,0.459,6.43,6.16,3.110940334,0.66,0.443,7.81,2.491,Warning
Burundi,2013,20th,7.7,7.9,8.1,9.1,7.6,6.2,8.4,8.3,7.9,8.9,8.8,8.7,0.392,0.392,5.8,2.1,2.611708879,6.54,0.254,1.24,2.627,Warning
Tajikistan,2013,51st,7.4,8.3,6.7,8.0,6.2,5.9,9.1,6.3,8.2,7.4,5.3,6.4,0.757,0.757,5.48,0.14,7.803490816,9.26,0.744,9.15,0,Warning
Ethiopia,2013,19th,8.4,8.7,8.6,7.7,7.6,6.7,7.3,8.7,8.7,9.7,8.7,8.1,0.414,0.414,6.27,1.8,3.705258045,3.7,0.267,0,3.428,Warning
Guinea Bissau,2013,15th,9.5,9.7,5.7,8.7,8.1,8.0,9.7,8.8,7.6,8.4,7.8,9.0,0.611,0.611,7.14,1.4,4.065906245,2.66,0.454,0.84,0,Warning
Uganda,2013,22nd,8.2,8.6,8.0,7.4,7.8,6.7,8.1,8.3,7.9,9.1,8.4,8.2,0.733,0.733,6.9,0.86,7.468031862,0.37,0.635,1.77,2.037,Warning
Nigeria,2013,16th,9.5,9.4,9.8,7.5,9.2,7.3,8.8,9.3,8.6,8.5,6.6,6.3,0.545,0.545,6.4,0.62,4.33357689,3.55,0.466,0.64,0.119,Warning
