Country,Rank,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,Prison Population,Homeless People due to Natural Disaster,Life expectancy at birth (years),Total unemployment rate (% of labour force),EPI,Infant mortality rate,Education Index,Domestic credit provided by financial sector (% of GDP),GTI,Total
Sudan,4th,9.5,9.8,9.7,8.6,7.9,8.8,9.6,8.8,9.6,8.7,10.0,9.8,0.842,0.842,8.3,5.22,8.435,1.19,0.82,10.53,1.84,Alert
Somalia,2nd,9.7,10.0,9.5,9.1,9.0,9.2,9.3,9.3,10.0,9.6,9.8,9.5,0.845,0.845,6.65,1.5,8.1625,1.54,0.768,6.345,0.16,Alert
Congo Democratic Republic,5th,9.5,9.5,9.5,7.9,8.8,7.1,9.0,9.7,10.0,9.5,9.4,9.8,0.498,0.498,6.33,0.76,6.378,5.66,0.469,0.04,6.5,Alert
South Sudan,1st,10.0,10.0,10.0,9.0,8.8,6.9,10.0,10.0,10.0,9.8,10.0,10.0,0.781,0.781,7.49,0.86,7.9935,1.29,0.706,1.11,0,Alert
Syria,9th,10.0,9.9,10.0,7.5,7.0,7.4,9.9,8.2,10.0,8.1,10.0,9.9,0.882,0.882,5.74,0.62,7.647,2.42,0.818,7.875,0.01,Alert
Yemen,7th,10.0,9.4,9.4,9.3,8.1,7.5,9.3,8.2,9.1,9.2,9.1,9.5,0.488,0.488,7.53,0.38,8.247,1.87,0.462,3.605,3.57,Alert
Central African Republic,3rd,9.8,10.0,9.6,8.3,9.7,6.9,9.5,9.9,10.0,8.4,10.0,9.8,0.919,0.919,8.2,1.12,3.369,0.44,0.89,1.715,5.25,Alert
Chad,6th,8.8,9.5,8.2,7.8,9.1,8.6,9.3,9.7,9.4,9.7,10.0,8.3,0.347,0.347,5.07,1.28,4.95,9.35,0.338,0.55,1.59,Alert
Afghanistan,8th,10.0,9.3,8.9,8.6,7.2,8.1,9.7,9.3,8.6,9.3,9.1,9.8,0.479,0.479,6.04,1.82,2.7165,6.81,0.398,-0.115,5.6,Alert
Liberia,21st,6.9,8.3,6.2,8.6,8.3,6.6,7.3,9.7,6.7,9.5,9.2,10.0,0.662,0.662,7.44,5.28,7.39,2.01,0.721,9.745,0.58,Alert
Guinea,10th,8.9,9.6,8.7,9.2,7.6,7.2,9.9,9.8,8.2,9.0,8.7,8.1,0.751,0.751,7.34,2.24,6.018,1.11,0.725,1.42,5.52,Alert
Haiti,11th,7.5,9.1,6.7,9.1,9.3,9.3,9.4,9.1,7.4,9.5,8.2,9.9,0.421,0.421,5.52,0.66,5.6095,6.24,0.353,1.445,2.58,Warning
Guinea Bissau,17th,8.8,9.6,5.7,8.7,8.4,8.5,9.0,9.2,7.2,8.2,7.8,8.8,0.637,0.637,7.18,1.38,4.2405,2.51,0.508,0.79,7.86,Warning
Nigeria,14th,9.9,9.8,9.9,7.6,8.8,7.1,9.1,9.1,8.8,8.8,7.5,6.0,0.555,0.555,6.48,0.7,6.095,3.34,0.475,0.61,4.41,Warning
Zimbabwe,16th,7.9,9.7,7.8,8.0,8.1,8.0,9.0,8.5,8.3,8.7,8.4,7.6,0.836,0.836,5.85,1.92,8.32,1.23,0.681,5.69,0,Warning
Iraq,12th,10.0,9.6,10.0,6.9,7.8,8.1,9.2,7.5,8.9,8.2,8.9,9.4,0.615,0.615,6.8,2.26,6.0785,2.36,0.525,0,0.24,Warning
Pakistan,13th,9.6,9.2,10.0,7.7,7.3,7.0,8.6,7.9,8.4,9.0,8.9,9.3,0.351,0.351,7.49,0.96,6.5935,0.48,0.206,2.395,1.72,Warning
Burundi,18th,7.7,7.9,8.0,8.5,7.7,6.8,8.4,8.3,8.2,9.2,9.0,8.4,0.399,0.399,5.87,2.14,3.821,6.22,0.261,1.17,4.24,Warning
Bangladesh,32nd,7.7,9.6,8.4,6.7,7.2,7.5,8.5,8.1,7.7,8.1,6.6,5.7,0.823,0.823,7.66,2.46,4.3,0.56,0.717,2.99,9.37,Warning
Niger,19th,8.7,8.9,7.5,8.2,8.4,6.9,7.5,9.3,6.8,9.6,7.9,8.1,0.637,0.637,6.59,0.96,6.4215,4.07,0.546,2.365,1.45,Warning
Mali,30th,8.7,4.9,7.6,8.2,7.4,8.4,6.0,9.0,6.7,9.1,7.8,9.3,0.896,0.896,7.33,1.64,6.7645,3.7,0.783,3.535,2.71,Warning
Tajikistan,57th,6.8,8.4,7.3,7.4,5.6,6.3,9.1,5.9,7.6,7.8,4.8,6.4,0.764,0.764,5.57,0.16,7.612,8.74,0.752,8.8,4.71,Warning
Rwanda,37th,6.2,8.0,8.8,6.3,8.2,7.5,6.5,7.3,7.7,8.0,7.9,7.8,0.679,0.679,7.46,4.16,7.9545,1.81,0.637,2.4,4.73,Warning
Kenya,21st,8.4,8.9,9.0,7.5,8.3,7.5,8.1,7.9,6.5,9.0,8.3,8.0,0.902,0.902,8.35,1.34,6.256,1.58,0.842,1.755,1.18,Warning
Uzbekistan,52nd,7.6,8.8,7.6,6.8,7.0,6.3,9.6,5.4,9.1,6.1,6.0,5.1,0.723,0.723,7.28,2.04,8.73,4.61,0.641,8.435,1.34,Warning
Cote dIvoire,15th,8.3,9.1,8.7,7.1,7.9,6.7,8.5,9.0,7.9,8.1,9.0,9.7,0.775,0.775,7.94,0.54,3.6905,0.86,0.684,4.5,0,Warning
Jordan,81st,5.5,6.9,7.7,6.3,5.9,3.6,6.1,4.7,7.6,7.0,8.8,6.8,0.881,0.881,8.31,1.02,5.405,1.39,0.804,18.85,5.21,Warning
Myanmar,27th,8.3,8.3,9.7,6.5,8.2,5.7,9.0,8.6,8.3,6.8,8.3,7.0,0.701,0.701,6.91,5.38,6.7055,1.39,0.725,1.75,0,Warning
